Produto/Tipo,Unidade,Preço Unitário R$,Quantidade Entregue,Data da Doação,AnoMes
ABOBORA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,5.32,200,2025-08-12,2025-08
ABOBRINHA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.66,39,2025-08-12,2025-08
AIPIM/CONVENCIONAL,Kg,3.66,666,2025-08-12,2025-08
BANANA D'ÁGUA/CONVENCIONAL,Kg,5.56,30,2025-08-12,2025-08
BANANA DA TERRA/CONVENCIONAL,Kg,12.65,30,2025-08-12,2025-08
BANANA PRATA/CONVENCIONAL,Kg,7.33,420,2025-08-12,2025-08
BATATA DOCE/CONVENCIONAL,Kg,5.33,36,2025-08-12,2025-08
BERINJELA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.32,90,2025-08-12,2025-08
BETERRABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.99,72,2025-08-12,2025-08
CENOURA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.29,72,2025-08-12,2025-08
GOIABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.29,144,2025-08-12,2025-08
JILÓ(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,26,2025-08-12,2025-08
LARANJA SELETA/CONVENCIONAL,Kg,7.67,108,2025-08-12,2025-08
MAMÃO FORMOSA/CONVENCIONAL,Kg,7.38,45,2025-08-12,2025-08
MANGA PALMER/CONVENCIONAL,Kg,8.34,45,2025-08-12,2025-08
MARACUJÁ(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,18.43,230,2025-08-12,2025-08
PEPINO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,3.66,18,2025-08-12,2025-08
PIMENTÃO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,14.32,45,2025-08-12,2025-08
TOMATE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,180,2025-08-12,2025-08
ABACAXI(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.5,360,2025-10-08,2025-10
ABOBORA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,5.32,450,2025-10-08,2025-10
AIPIM/CONVENCIONAL,Kg,3.66,689,2025-10-08,2025-10
ALFACE AMERICANA/CONVENCIONAL,Kg,3.82,120,2025-10-08,2025-10
ALFACE CRESPA/CONVENCIONAL,Kg,11.19,10,2025-10-08,2025-10
BANANA D'ÁGUA/CONVENCIONAL,Kg,5.56,195,2025-10-08,2025-10
BANANA PRATA/CONVENCIONAL,Kg,7.33,1195,2025-10-08,2025-10
BATATA DOCE/CONVENCIONAL,Kg,5.33,180,2025-10-08,2025-10
BATATA INGLESA/CONVENCIONAL,Kg,8.29,128,2025-10-08,2025-10
BERINJELA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.32,30,2025-10-08,2025-10
BETERRABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.99,338,2025-10-08,2025-10
CEBOLA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.63,150,2025-10-08,2025-10
CEBOLINHA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,24.51,75,2025-10-08,2025-10
CENOURA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.96,396,2025-10-08,2025-10
COUVE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.9,90,2025-10-08,2025-10
GOIABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.29,702,2025-10-08,2025-10
INHAME(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.66,180,2025-10-08,2025-10
JILÓ(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,39,2025-10-08,2025-10
LARANJA SELETA/CONVENCIONAL,Kg,7.67,126,2025-10-08,2025-10
MAMÃO FORMOSA/CONVENCIONAL,Kg,7.38,45,2025-10-08,2025-10
NABO/CONVENCIONAL,Kg,4.1,18,2025-10-08,2025-10
PEPINO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,3.66,342,2025-10-08,2025-10
PIMENTÃO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,14.32,200,2025-10-08,2025-10
QUIABO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,11.43,52,2025-10-08,2025-10
RABANETE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,15.09,62,2025-10-08,2025-10
REPOLHO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.14,30,2025-10-08,2025-10
SALSA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,37.85,45,2025-10-08,2025-10
TOMATE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,10.32,430,2025-10-08,2025-10
AIPIM/CONVENCIONAL,Kg,3.66,108,2025-08-19,2025-08
ALFACE CRESPA/CONVENCIONAL,Kg,11.19,145,2025-08-19,2025-08
BANANA D'ÁGUA/CONVENCIONAL,Kg,5.56,90,2025-08-19,2025-08
BANANA PRATA/CONVENCIONAL,Kg,7.33,900,2025-08-19,2025-08
BATATA DOCE/CONVENCIONAL,Kg,5.33,18,2025-08-19,2025-08
BATATA INGLESA/CONVENCIONAL,Kg,8.29,324,2025-08-19,2025-08
BATATA YACON/CONVENCIONAL,Kg,14.25,16,2025-08-19,2025-08
BETERRABA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.99,270,2025-08-19,2025-08
BRÓCOLIS(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.68,150,2025-08-19,2025-08
BRÓCOLIS(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/ORGÂNICO,Kg,12.0,36,2025-08-19,2025-08
CEBOLINHA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,24.51,9,2025-08-19,2025-08
CENOURA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.96,252,2025-08-19,2025-08
CHUCHU(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,4.32,30,2025-08-19,2025-08
COUVE(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,9.9,65,2025-08-19,2025-08
COUVE-FLOR(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,11.59,112,2025-08-19,2025-08
INHAME(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,7.66,180,2025-08-19,2025-08
NABO/CONVENCIONAL,Kg,4.1,360,2025-08-19,2025-08
REPOLHO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,6.14,210,2025-08-19,2025-08
REPOLHO(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/ORGÂNICO,Kg,7.98,60,2025-08-19,2025-08
SALSA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/ORGÂNICO,Kg,49.21,10,2025-08-19,2025-08
SALSA(CLASSIFICAÇÃO SEM CARACTERÍSTICAS)/CONVENCIONAL,Kg,37.85,5,2025-08-19,2025-08
BANANA DA TERRA(CONVENCIONAL),Kg,16.22,544,2025-10-08,2025-10
ABOBORA(CONVENCIONAL),Kg,19.07,1067,2025-10-08,2025-10
CEBOLA(CONVENCIONAL),Kg,5.88,132,2025-08-12,2025-08
BANANA D'ÁGUA(CONVENCIONAL),Kg,13.8,834,2025-08-19,2025-08
SALSA(CONVENCIONAL),Kg,8.28,1286,2025-08-19,2025-08
REPOLHO(CONVENCIONAL),Kg,15.73,363,2025-10-08,2025-10
PIMENTÃO(CONVENCIONAL),Kg,10.51,947,2025-10-08,2025-10
SALSA(CONVENCIONAL),Kg,15.68,887,2025-08-12,2025-08
REPOLHO(CONVENCIONAL),Kg,17.49,863,2025-10-08,2025-10
REPOLHO(ORGÂNICO),Kg,11.81,1274,2025-08-19,2025-08
PIMENTÃO(CONVENCIONAL),Kg,9.59,713,2025-08-19,2025-08
SALSA(ORGÂNICO),Kg,14.8,248,2025-08-19,2025-08
BATATA YACON(CONVENCIONAL),Kg,12.56,663,2025-08-19,2025-08
JILÓ(CONVENCIONAL),Kg,17.01,1275,2025-10-08,2025-10
BANANA PRATA(CONVENCIONAL),Kg,3.79,1052,2025-10-08,2025-10
BANANA PRATA(CONVENCIONAL),Kg,5.19,265,2025-08-12,2025-08
ABACAXI(CONVENCIONAL),Kg,10.02,338,2025-10-08,2025-10
CENOURA(CONVENCIONAL),Kg,5.22,1210,2025-08-19,2025-08
COUVE-FLOR(CONVENCIONAL),Kg,16.64,192,2025-08-12,2025-08
BRÓCOLIS(ORGÂNICO),Kg,5.14,1160,2025-10-08,2025-10
BANANA D'ÁGUA(CONVENCIONAL),Kg,12.29,565,2025-10-08,2025-10
CEBOLINHA(CONVENCIONAL),Kg,9.02,1287,2025-10-08,2025-10
BATATA INGLESA(CONVENCIONAL),Kg,3.62,254,2025-08-12,2025-08
SALSA(CONVENCIONAL),Kg,13.12,1295,2025-08-19,2025-08
COUVE(CONVENCIONAL),Kg,16.39,527,2025-08-12,2025-08
BANANA PRATA(CONVENCIONAL),Kg,9.04,111,2025-08-12,2025-08
RABANETE(CONVENCIONAL),Kg,13.98,794,2025-10-08,2025-10
BERINJELA(CONVENCIONAL),Kg,6.16,738,2025-08-12,2025-08
CENOURA(CONVENCIONAL),Kg,5.75,1180,2025-08-12,2025-08
BATATA DOCE(CONVENCIONAL),Kg,7.76,677,2025-08-19,2025-08
BANANA D'ÁGUA(CONVENCIONAL),Kg,12.05,440,2025-08-19,2025-08
ALFACE AMERICANA(CONVENCIONAL),Kg,9.08,346,2025-08-12,2025-08
CEBOLA(CONVENCIONAL),Kg,7.92,754,2025-10-08,2025-10
BATATA DOCE(CONVENCIONAL),Kg,4.74,828,2025-10-08,2025-10
BRÓCOLIS(ORGÂNICO),Kg,8.39,1207,2025-08-19,2025-08
ABOBRINHA(CONVENCIONAL),Kg,7.24,39,2025-10-08,2025-10
SALSA(CONVENCIONAL),Kg,6.51,530,2025-08-19,2025-08
BANANA D'ÁGUA(CONVENCIONAL),Kg,17.37,1163,2025-08-19,2025-08
BRÓCOLIS(ORGÂNICO),Kg,16.78,938,2025-08-12,2025-08
CEBOLINHA(CONVENCIONAL),Kg,6.56,863,2025-08-12,2025-08
REPOLHO(CONVENCIONAL),Kg,8.07,103,2025-08-12,2025-08
BRÓCOLIS(ORGÂNICO),Kg,16.61,316,2025-08-19,2025-08
REPOLHO(CONVENCIONAL),Kg,5.63,1006,2025-10-08,2025-10
BERINJELA(CONVENCIONAL),Kg,8.42,190,2025-08-12,2025-08
INHAME(CONVENCIONAL),Kg,8.75,732,2025-10-08,2025-10
JILÓ(CONVENCIONAL),Kg,12.37,169,2025-10-08,2025-10
BETERRABA(CONVENCIONAL),Kg,16.08,28,2025-08-19,2025-08
REPOLHO(ORGÂNICO),Kg,13.35,435,2025-10-08,2025-10
MAMÃO FORMOSA(CONVENCIONAL),Kg,19.51,149,2025-08-12,2025-08
LARANJA SELETA(CONVENCIONAL),Kg,16.67,1265,2025-08-19,2025-08
REPOLHO(CONVENCIONAL),Kg,5.12,133,2025-08-12,2025-08
MAMÃO FORMOSA(CONVENCIONAL),Kg,6.18,1223,2025-08-19,2025-08
GOIABA(CONVENCIONAL),Kg,7.13,236,2025-08-19,2025-08
PEPINO(CONVENCIONAL),Kg,4.3,374,2025-10-08,2025-10
BERINJELA(CONVENCIONAL),Kg,6.17,309,2025-10-08,2025-10
REPOLHO(ORGÂNICO),Kg,17.87,1164,2025-08-19,2025-08
BATATA INGLESA(CONVENCIONAL),Kg,12.19,1202,2025-10-08,2025-10
ABOBORA(CONVENCIONAL),Kg,6.6,598,2025-08-12,2025-08
SALSA(ORGÂNICO),Kg,18.32,916,2025-08-12,2025-08
LARANJA SELETA(CONVENCIONAL),Kg,12.89,1005,2025-08-12,2025-08
BRÓCOLIS(CONVENCIONAL),Kg,15.75,424,2025-08-19,2025-08
MARACUJÁ(CONVENCIONAL),Kg,17.71,851,2025-08-19,2025-08
LARANJA SELETA(CONVENCIONAL),Kg,17.98,221,2025-08-12,2025-08
PEPINO(CONVENCIONAL),Kg,15.97,1119,2025-08-19,2025-08
BANANA D'ÁGUA(CONVENCIONAL),Kg,15.15,456,2025-08-12,2025-08
JILÓ(CONVENCIONAL),Kg,6.36,899,2025-10-08,2025-10
QUIABO(CONVENCIONAL),Kg,19.43,410,2025-10-08,2025-10
COUVE(CONVENCIONAL),Kg,4.16,1037,2025-08-12,2025-08
SALSA(ORGÂNICO),Kg,10.33,192,2025-08-19,2025-08
TOMATE(CONVENCIONAL),Kg,9.56,571,2025-10-08,2025-10
BATATA YACON(CONVENCIONAL),Kg,18.49,831,2025-08-19,2025-08
MARACUJÁ(CONVENCIONAL),Kg,5.48,41,2025-10-08,2025-10
ALFACE AMERICANA(CONVENCIONAL),Kg,19.61,1143,2025-10-08,2025-10
CHUCHU(CONVENCIONAL),Kg,7.35,579,2025-08-19,2025-08
SALSA(CONVENCIONAL),Kg,19.83,818,2025-08-19,2025-08
MANGA PALMER(CONVENCIONAL),Kg,18.55,708,2025-10-08,2025-10
BATATA INGLESA(CONVENCIONAL),Kg,11.57,749,2025-08-12,2025-08
BANANA PRATA(CONVENCIONAL),Kg,7.76,121,2025-10-08,2025-10
REPOLHO(CONVENCIONAL),Kg,18.16,1289,2025-08-12,2025-08
REPOLHO(CONVENCIONAL),Kg,9.92,432,2025-10-08,2025-10
REPOLHO(CONVENCIONAL),Kg,10.29,118,2025-10-08,2025-10
ALFACE AMERICANA(CONVENCIONAL),Kg,17.12,565,2025-10-08,2025-10
REPOLHO(ORGÂNICO),Kg,3.18,1194,2025-08-19,2025-08
PIMENTÃO(CONVENCIONAL),Kg,17.98,66,2025-08-19,2025-08
LARANJA SELETA(CONVENCIONAL),Kg,6.95,413,2025-08-12,2025-08
ALFACE CRESPA(CONVENCIONAL),Kg,3.78,924,2025-08-19,2025-08
ALFACE CRESPA(CONVENCIONAL),Kg,15.09,107,2025-10-08,2025-10
QUIABO(CONVENCIONAL),Kg,18.53,328,2025-08-12,2025-08
GOIABA(CONVENCIONAL),Kg,19.79,425,2025-08-12,2025-08
GOIABA(CONVENCIONAL),Kg,10.01,496,2025-08-19,2025-08
QUIABO(CONVENCIONAL),Kg,17.71,163,2025-10-08,2025-10
BATATA YACON(CONVENCIONAL),Kg,19.58,342,2025-08-19,2025-08
SALSA(CONVENCIONAL),Kg,5.69,876,2025-08-12,2025-08
ABACAXI(CONVENCIONAL),Kg,8.94,1232,2025-08-19,2025-08
BETERRABA(CONVENCIONAL),Kg,15.55,135,2025-10-08,2025-10
INHAME(CONVENCIONAL),Kg,9.71,242,2025-10-08,2025-10
MAMÃO FORMOSA(CONVENCIONAL),Kg,18.56,640,2025-08-19,2025-08
BRÓCOLIS(CONVENCIONAL),Kg,15.39,548,2025-08-12,2025-08
COUVE(CONVENCIONAL),Kg,12.88,741,2025-08-19,2025-08
BRÓCOLIS(CONVENCIONAL),Kg,11.07,998,2025-08-12,2025-08
COUVE(CONVENCIONAL),Kg,15.01,1158,2025-08-19,2025-08
MAMÃO FORMOSA(CONVENCIONAL),Kg,9.87,238,2025-10-08,2025-10
MANGA PALMER(CONVENCIONAL),Kg,10.86,216,2025-10-08,2025-10
RABANETE(CONVENCIONAL),Kg,15.69,171,2025-10-08,2025-10
MARACUJÁ(CONVENCIONAL),Kg,10.16,325,2025-10-08,2025-10
BRÓCOLIS(ORGÂNICO),Kg,7.88,486,2025-08-19,2025-08
ALFACE AMERICANA(CONVENCIONAL),Kg,10.1,1028,2025-08-19,2025-08
CEBOLA(CONVENCIONAL),Kg,15.37,409,2025-08-19,2025-08
MAMÃO FORMOSA(CONVENCIONAL),Kg,9.55,359,2025-10-08,2025-10
AIPIM(CONVENCIONAL),Kg,11.77,807,2025-08-19,2025-08
CEBOLINHA(CONVENCIONAL),Kg,11.92,1145,2025-08-12,2025-08
MARACUJÁ(CONVENCIONAL),Kg,14.75,516,2025-10-08,2025-10
LARANJA SELETA(CONVENCIONAL),Kg,6.92,204,2025-08-19,2025-08
JILÓ(CONVENCIONAL),Kg,18.09,508,2025-10-08,2025-10
CHUCHU(CONVENCIONAL),Kg,9.31,260,2025-10-08,2025-10
ALFACE AMERICANA(CONVENCIONAL),Kg,18.71,773,2025-10-08,2025-10
SALSA(CONVENCIONAL),Kg,13.07,606,2025-08-19,2025-08
AIPIM(CONVENCIONAL),Kg,9.46,1192,2025-08-19,2025-08
TOMATE(CONVENCIONAL),Kg,11.14,307,2025-10-08,2025-10
CEBOLA(CONVENCIONAL),Kg,15.43,709,2025-08-12,2025-08
REPOLHO(ORGÂNICO),Kg,8.7,1231,2025-08-19,2025-08
ALFACE CRESPA(CONVENCIONAL),Kg,15.32,461,2025-10-08,2025-10
NABO(CONVENCIONAL),Kg,19.39,630,2025-08-19,2025-08
BATATA INGLESA(CONVENCIONAL),Kg,14.65,305,2025-08-19,2025-08
MANGA PALMER(CONVENCIONAL),Kg,15.54,263,2025-08-12,2025-08
TOMATE(CONVENCIONAL),Kg,10.13,983,2025-08-19,2025-08
ABOBRINHA(CONVENCIONAL),Kg,19.11,1257,2025-10-08,2025-10
ABACAXI(CONVENCIONAL),Kg,17.35,572,2025-10-08,2025-10
CEBOLA(CONVENCIONAL),Kg,15.8,400,2025-08-19,2025-08
TOMATE(CONVENCIONAL),Kg,14.54,256,2025-10-08,2025-10
MAMÃO FORMOSA(CONVENCIONAL),Kg,10.95,282,2025-10-08,2025-10
MARACUJÁ(CONVENCIONAL),Kg,16.16,1274,2025-08-12,2025-08
